Done,Tags,Name,Creator,Link
FALSE,Overview,How Bitcoin Actually Works,Hello Bitcoin,https://www.youtube.com/watch?v=6vQB3XGB7ig
FALSE,Overview,But How Does Bitcoin Actually Work,3Blue1Brown,https://www.youtube.com/watch?v=bBC-nXj3Ng4
FALSE,Overview,The Bitcoin Voice Paper,@dimzayan,https://www.youtube.com/watch?v=7jldYncbU6s
FALSE,Overview,Why Everything that isn’t Bitcoin will Fail,Ioni Appelberg,https://www.youtube.com/watch?v=TIkqBZnrKJM
FALSE,Human Rights,Bitcoin is for everyone,"Hello Bitcoin, Mrugakshee",https://www.youtube.com/watch?v=oubZGyDY4Dc
FALSE,Human Rights,Bitcoin: A tool for human freedom,Hello Bitcoin,https://www.youtube.com/watch?v=5Ib1FSRjSwY
FALSE,Macroeconomics,Michael Saylor + Ross Stevens Interview,MicroStrategy,https://www.youtube.com/watch?v=NoobUKNttmw
FALSE,Philosophical,What is Money?,"The ""What is Money?"" Show (Robert Breedlove)",https://www.youtube.com/watch?v=J4IylYhh6Vw
FALSE,Energy,The Environmental Impact of Bitcoin,"Hello Bitcoin, Aubrey Strobel",https://www.youtube.com/watch?v=1Z7GjXgdUy4
FALSE,Energy,“This Machine Greens” – Bitcoin Documentary,Swan Signal ,https://www.youtube.com/watch?v=b-7dMVcVWgc
FALSE,Comedy,Bitcoin video for normie friends,JP Sears,https://twitter.com/ck_SNARKs/status/1481753893600067589?t=4j-bmrLBzt4CnVbtyGGGZw&s=19
